CLUB_NBR,CLUB_NAME,MARKET_AREA_NBR,MARKET_AREA_NAME,REGION_NBR,REGION_NAME
6616,"FULLERTON, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8218,"FAYETTEVILLE,NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
6604,"FLAGSTAFF, AZ",37,AZ,9,WESTERN
6606,"PHOENIX, AZ",37,AZ,9,WESTERN
6646,"ALPHARETTA, GA",93,ATLANTA,7,SOUTHEAST
8293,"INDEPENDENCE, MO",21,KANSAS CITY,11,NORTH CENTRAL
6528,"CINCINNATI, OH",49,CINCINNATI/KENTUCKY,1,NORTHEAST
6692,"TUCSON, AZ",37,AZ,9,WESTERN
4999,"QUINCY, IL",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
6420,"CLEARWATER, FL",96,TAMPA,7,SOUTHEAST
6462,"AUGUSTA, ME",20,UPSTATE NEW YORK,1,NORTHEAST
4938,"ALBUQUERQUE (CENTRAL), NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
4816,"AURORA (SE), CO",56,CO,9,WESTERN
6376,"ADDISON, TX",27,DALLAS,4,SOUTH CENTRAL
8167,"FRANKLIN, WI",32,WISCONSIN,11,NORTH CENTRAL
8129,"WILMINGTON, NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
8111,"JEFFERSONTOWN, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
6432,"SIOUX CITY,IA",39,NE / IA,11,NORTH CENTRAL
4703,"ALBUQUERQUE, NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
4742,"FORT WORTH, TX",30,FT. WORTH,4,SOUTH CENTRAL
4948,"SAN ANGELO, TX",30,FT. WORTH,4,SOUTH CENTRAL
6314,"ELYRIA, OH",31,CLEVELAND,1,NORTHEAST
8236,"GULFPORT, MS",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
4872,COLUMBIA NE SC,22,SOUTH CAROLINA / GA,7,SOUTHEAST
6434,"LAUREL, MD",85,MARYLAND,1,NORTHEAST
6652,"FREDERICK, MD",85,MARYLAND,1,NORTHEAST
6575,"PITTSBURGH, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
6976,WAKE FOREST NC,11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
6445,"PORT CHARLOTTE, FL",19,S. FLORIDA,7,SOUTHEAST
8194,"ATHENS, GA",93,ATLANTA,7,SOUTHEAST
6322,"BOARDMAN, OH",31,CLEVELAND,1,NORTHEAST
8264,"SAN ANTONIO (S), TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6661,"PORTAGE, MI",45,MICHIGAN,11,NORTH CENTRAL
8270,"LUBBOCK, TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
4906,"MCKINNEY, TX",27,DALLAS,4,SOUTH CENTRAL
6355,"HICKORY, NC",50,NORTH CAROLINA,7,SOUTHEAST
4808,SPRINGDALE AR,6,OK / W. AR,4,SOUTH CENTRAL
6373,"VIENNA, WV",81,WEST VIRGINIA/OHIO,1,NORTHEAST
4992,"ELIZABETHTOWN, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
4770,"EVANS, CO",94,BIG SKY / CO,9,WESTERN
8135,"TERRE HAUTE, IN",38,INDIANA,11,NORTH CENTRAL
8163,"COLUMBIA, MO",3,ST. LOUIS,11,NORTH CENTRAL
6464,"DES PLAINES, IL",17,CHICAGO,11,NORTH CENTRAL
6336,"TEMPLE, TX",27,DALLAS,4,SOUTH CENTRAL
6410,"PEARL CITY, HI",55,LOS ANGELES/HAWAII,9,WESTERN
8245,"HOUSTON (N), TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
8138,"DAYTONA BEACH, FL",7,ORLANDO,7,SOUTHEAST
6414,"GASTONIA, NC",50,NORTH CAROLINA,7,SOUTHEAST
7191,WHOLESALE TRADING CENTER-RETAI,19,S. FLORIDA,7,SOUTHEAST
4871,"MERIDIAN, MS",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6386,"CONCORD, NH",20,UPSTATE NEW YORK,1,NORTHEAST
6636,"NEWINGTON, CT",20,UPSTATE NEW YORK,1,NORTHEAST
8219,"MATTHEWS, NC",50,NORTH CAROLINA,7,SOUTHEAST
4784,"LAS CRUCES,NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
8106,"MONTGOMERY, AL",2,AL / GA,7,SOUTHEAST
6509,"ROME, GA",2,AL / GA,7,SOUTHEAST
4930,COOKEVILLE TN,28,TENNESSEE,7,SOUTHEAST
8182,"SAINT LOUIS, MO",3,ST. LOUIS,11,NORTH CENTRAL
6382,"LAS VEGAS(W),NV",41,NEVADA / N CALIFORNIA,9,WESTERN
8172,"FARGO, ND",94,BIG SKY / CO,9,WESTERN
6378,"RIVERSIDE, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
6430,"CHEYENNE, WY",94,BIG SKY / CO,9,WESTERN
6320,"HERMANTOWN, MN",23,MINNESOTA,9,WESTERN
6402,"GREENSBORO, NC",50,NORTH CAROLINA,7,SOUTHEAST
4961,"ROSWELL, NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
6251,"WASHINGTON, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
6368,"CHESAPEAKE, VA",33,VIRGINIA,1,NORTHEAST
4985,"SPRINGFIELD (S), MO",21,KANSAS CITY,11,NORTH CENTRAL
4950,"HENDERSONVILLE, NC",50,NORTH CAROLINA,7,SOUTHEAST
4990,"DAPHNE, AL",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6435,"TUSCALOOSA, AL",2,AL / GA,7,SOUTHEAST
8197,"CHAMPAIGN, IL",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
6666,"CANTON, MI",62,DETROIT,11,NORTH CENTRAL
4831,"DURHAM (S), NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
6637,"CORAL SPRINGS, FL",19,S. FLORIDA,7,SOUTHEAST
4750,"CUYAHOGA FALLS, OH",31,CLEVELAND,1,NORTHEAST
6429,"BATTLE CREEK, MI",45,MICHIGAN,11,NORTH CENTRAL
4972,"PORT ST LUCIE (W), FL",19,S. FLORIDA,7,SOUTHEAST
8290,"ORLANDO (S), FL",7,ORLANDO,7,SOUTHEAST
8184,"GURNEE, IL",32,WISCONSIN,11,NORTH CENTRAL
4778,"AUBURN HILLS,MI",62,DETROIT,11,NORTH CENTRAL
6657,"NOVI, MI",62,DETROIT,11,NORTH CENTRAL
6267,EDMOND OK,97,OK / N. TX,4,SOUTH CENTRAL
6527,"BATON ROUGE, LA",91,N. LA / TX,4,SOUTH CENTRAL
6460,"ALTOONA, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
6249,"FRANKLIN, TN",28,TENNESSEE,7,SOUTHEAST
8284,"TYLER, TX",91,N. LA / TX,4,SOUTH CENTRAL
6685,"PROVO, UT",98,UT / MT / ID,9,WESTERN
6405,"YUBA CITY, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
6365,"CHARLOTTESVILLE, VA",33,VIRGINIA,1,NORTHEAST
8285,"O'FALLON, IL",3,ST. LOUIS,11,NORTH CENTRAL
6321,"APPLETON, WI",32,WISCONSIN,11,NORTH CENTRAL
4830,"AVONDALE, AZ",37,AZ,9,WESTERN
6569,"BLUEFIELD, VA",33,VIRGINIA,1,NORTHEAST
8169,"LAFAYETTE, IN",38,INDIANA,11,NORTH CENTRAL
6347,"FARMINGTON, NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
6371,"WOODBRIDGE, VA",85,MARYLAND,1,NORTHEAST
8267,"CORPUS CHRISTI, TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6472,"COUNCIL BLUFFS, IA",39,NE / IA,11,NORTH CENTRAL
6380,"DAYTON, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
6332,"PHILADELPHIA, PA",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
4926,COLUMBUS IN,38,INDIANA,11,NORTH CENTRAL
4755,"HONOLULU, HI",55,LOS ANGELES/HAWAII,9,WESTERN
4840,"JANESVILLE, WI",32,WISCONSIN,11,NORTH CENTRAL
4786,"LOGAN, UT",98,UT / MT / ID,9,WESTERN
6265,"IRVING (N), TX",27,DALLAS,4,SOUTH CENTRAL
8299,PLANO TX,27,DALLAS,4,SOUTH CENTRAL
6345,"IDAHO FALLS, ID",98,UT / MT / ID,9,WESTERN
4958,"SAN MARCOS, TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
8272,"COLORADO SPRINGS, CO",56,CO,9,WESTERN
6259,"ROUND ROCK, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
8120,"TALLAHASSEE, FL",16,N. FL / S. GA,7,SOUTHEAST
6617,"GARDENA, CA",55,LOS ANGELES/HAWAII,9,WESTERN
4853,CASTLE ROCK CO,56,CO,9,WESTERN
6436,"ONALASKA,WI",32,WISCONSIN,11,NORTH CENTRAL
6518,"BRISTOL,VA",28,TENNESSEE,7,SOUTHEAST
6254,"MAPLE GROVE, MN",23,MINNESOTA,9,WESTERN
6671,"FREEHOLD, NJ",15,NJ / PA / NY,1,NORTHEAST
8261,"KENNER, LA",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6461,"GRAND ISLAND,NE",39,NE / IA,11,NORTH CENTRAL
6203,"COLUMBIA, SC",22,SOUTH CAROLINA / GA,7,SOUTHEAST
6449,"PADUCAH, KY",3,ST. LOUIS,11,NORTH CENTRAL
8115,"AUGUSTA, GA",22,SOUTH CAROLINA / GA,7,SOUTHEAST
4815,"NORMAL, IL",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
6307,"COLUMBUS(N),OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
6261,"LAS VEGAS(S),NV",41,NEVADA / N CALIFORNIA,9,WESTERN
8250,"MCALLEN, TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6581,"SCRANTON, PA",15,NJ / PA / NY,1,NORTHEAST
6341,"SUNRISE, FL",19,S. FLORIDA,7,SOUTHEAST
4707,"OVERLAND PARK, KS",21,KANSAS CITY,11,NORTH CENTRAL
8174,"MERRILLVILLE,IN",17,CHICAGO,11,NORTH CENTRAL
6502,"EL PASO, TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
4819,"BAKERSFIELD (SW), CA",55,LOS ANGELES/HAWAII,9,WESTERN
6440,"LATHAM, NY",20,UPSTATE NEW YORK,1,NORTHEAST
4987,LONGMONT ALT CO,94,BIG SKY / CO,9,WESTERN
6630,"ARVADA, CO",56,CO,9,WESTERN
6330,"DOVER, DE",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6443,"GOLDSBORO, NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
8269,"GRAND PRAIRIE, TX",30,FT. WORTH,4,SOUTH CENTRAL
8193,"HAGERSTOWN, MD",85,MARYLAND,1,NORTHEAST
4804,"MCDONOUGH, GA",2,AL / GA,7,SOUTHEAST
6635,"LITTLETON, CO",56,CO,9,WESTERN
4817,"SAM'S BIRMINGHAM, AL",2,AL / GA,7,SOUTHEAST
8157,"W.PALM BEACH,FL",19,S. FLORIDA,7,SOUTHEAST
6388,MONTGOMERY IL,17,CHICAGO,11,NORTH CENTRAL
8280,"EL PASO, TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
6244,"FORT WORTH, TX",30,FT. WORTH,4,SOUTH CENTRAL
8277,"WESTWORTH VILLAGE, TX",30,FT. WORTH,4,SOUTH CENTRAL
8278,"GREENVILLE, SC",22,SOUTH CAROLINA / GA,7,SOUTHEAST
6338,"COLLEGE STATION, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
4905,"DENTON, TX",30,FT. WORTH,4,SOUTH CENTRAL
8176,"TOPEKA, KS",21,KANSAS CITY,11,NORTH CENTRAL
6507,"JACKSON, TN",90,MEMPHIS/AL,4,SOUTH CENTRAL
8294,"NASHVILLE(S),TN",28,TENNESSEE,7,SOUTHEAST
6573,JACKSONVILLE NC,11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
6329,"TUPELO, MS",90,MEMPHIS/AL,4,SOUTH CENTRAL
6262,"SAN ANTONIO (NNW), TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6535,"WAUSAU, WI",32,WISCONSIN,11,NORTH CENTRAL
